Den,Měsíc,Pr�m�rn� teplota (�C)
1,1,2.1
2,1,5.5
3,1,4.1
4,1,0
5,1,-5.8
6,1,-5.9
7,1,-3.7
8,1,-5.3
9,1,-6.5
10,1,-7.7
11,1,-7
12,1,-7.6
13,1,-5.5
14,1,-4.5
15,1,-10.6
16,1,-8.3
17,1,-7
18,1,-7.8
19,1,-8
20,1,-9.8
21,1,-13.4
22,1,-7.3
23,1,-0.3
24,1,1.2
25,1,-1.8
26,1,-1.6
27,1,-4.2
28,1,-2.3
29,1,0.6
30,1,-1.9
31,1,-2.4
1,2,1.5
2,2,1.5
3,2,0.8
4,2,2.4
5,2,3.5
6,2,7.7
7,2,6.1
8,2,6.5
9,2,5.2
10,2,-0.2
11,2,4.4
12,2,5.4
13,2,6.8
14,2,5.1
15,2,2.1
16,2,1.5
17,2,2.4
18,2,3
19,2,5.4
20,2,9
21,2,12.8
22,2,8.2
23,2,6.2
24,2,7.4
25,2,7.3
26,2,7.1
27,2,6.7
28,2,8.4
1,3,7.4
2,3,5
3,3,5.7
4,3,7.5
5,3,7.6
6,3,4.7
7,3,6.3
8,3,5
9,3,7
10,3,4.4
11,3,6.7
12,3,4.2
13,3,2.4
14,3,0.2
15,3,0.3
16,3,0.1
17,3,1.9
18,3,6
19,3,2.9
20,3,1.2
21,3,5.8
22,3,6.2
23,3,8.8
24,3,6.8
25,3,2.3
26,3,1.1
27,3,6.3
28,3,8.1
29,3,3.6
30,3,4
31,3,3.9
1,4,4.9
2,4,7.1
3,4,5.9
4,4,7.1
5,4,7.1
6,4,11
7,4,13
8,4,11.9
9,4,11.7
10,4,11.6
11,4,11
12,4,8.4
13,4,8.7
14,4,13.2
15,4,11.8
16,4,14.2
17,4,10.4
18,4,10.6
19,4,13.4
20,4,12.8
21,4,9
22,4,7.3
23,4,10.7
24,4,13.7
25,4,15
26,4,14.3
27,4,15.3
28,4,16.9
29,4,17.8
30,4,16.5
1,5,15.1
2,5,16.5
3,5,16.6
4,5,19
5,5,18.7
6,5,12.9
7,5,12.9
8,5,9.8
9,5,10.1
10,5,9.9
11,5,10.8
12,5,14.9
13,5,16.1
14,5,19.2
15,5,20.4
16,5,18.5
17,5,17.1
18,5,16.4
19,5,16.5
20,5,15.2
21,5,15.9
22,5,17.6
23,5,17.3
24,5,13.8
25,5,14.5
26,5,12.8
27,5,10.5
28,5,10.9
29,5,10.2
30,5,12
31,5,11.2
1,6,14.3
2,6,13
3,6,13.3
4,6,15.1
5,6,17.7
6,6,19.5
7,6,19.5
8,6,20.5
9,6,17.7
10,6,20.1
11,6,22.3
12,6,22.8
13,6,18.9
14,6,20.6
15,6,20.5
16,6,21.7
17,6,22.2
18,6,22.7
19,6,17.2
20,6,17.1
21,6,14.8
22,6,17.9
23,6,19.1
24,6,17.8
25,6,14.3
26,6,16.3
27,6,16.8
28,6,16.5
29,6,12.6
30,6,16.3
1,7,16.2
2,7,18.6
3,7,20.1
4,7,22.3
5,7,24.1
6,7,17.5
7,7,14.6
8,7,14
9,7,17.1
10,7,18.2
11,7,20.4
12,7,16.7
13,7,22.1
14,7,18.8
15,7,15.8
16,7,17.2
17,7,20.9
18,7,20.6
19,7,21.1
20,7,18.5
21,7,17.9
22,7,16.8
23,7,18.5
24,7,17.8
25,7,17.5
26,7,16.3
27,7,18.5
28,7,15
29,7,13.6
30,7,17.2
31,7,16.8
1,8,17.4
2,8,16.7
3,8,19
4,8,17.7
5,8,17.2
6,8,15.2
7,8,16
8,8,19.2
9,8,13.7
10,8,16.4
11,8,20.5
12,8,21.9
13,8,23.5
14,8,22.9
15,8,20.4
16,8,13.9
17,8,17.8
18,8,20.8
19,8,20.8
20,8,19.2
21,8,18.4
22,8,19.4
23,8,16.7
24,8,13.4
25,8,11.7
26,8,11.3
27,8,14.8
28,8,14.2
29,8,15.4
30,8,16.4
31,8,13.8
1,9,14.8
2,9,15.9
3,9,17.6
4,9,17.1
5,9,14.6
6,9,14.8
7,9,18.9
8,9,18.6
9,9,14.5
10,9,14.8
11,9,17
12,9,18.8
13,9,18.4
14,9,14.5
15,9,14.9
16,9,13.7
17,9,13
18,9,12.6
19,9,10.8
20,9,9.6
21,9,10.3
22,9,12.6
23,9,11.5
24,9,11.9
25,9,12.5
26,9,11.7
27,9,10.3
28,9,9.1
29,9,13.1
30,9,16.6
1,10,15.9
2,10,13.7
3,10,13.2
4,10,17.4
5,10,19
6,10,16.8
7,10,17.2
8,10,18.6
9,10,17.5
10,10,14.2
11,10,15.3
12,10,18.8
13,10,15.5
14,10,12.2
15,10,15.3
16,10,15.7
17,10,12.7
18,10,13.5
19,10,15.7
20,10,12.7
21,10,11.1
22,10,8.3
23,10,12.4
24,10,12.5
25,10,12.2
26,10,12.5
27,10,9.7
28,10,7.7
29,10,4.8
30,10,1.8
31,10,0.8
1,11,1.8
2,11,3.5
3,11,7.1
4,11,11.5
5,11,11.6
6,11,11.7
7,11,7.3
8,11,11.7
9,11,8.2
10,11,5.7
11,11,5.9
12,11,3.2
13,11,2.1
14,11,1.4
15,11,0.9
16,11,0.9
17,11,2.1
18,11,2.2
19,11,2.3
20,11,1.6
21,11,0.9
22,11,0.1
23,11,4.8
24,11,4.3
25,11,1.4
26,11,0.5
27,11,1.3
28,11,0.6
29,11,-1.2
30,11,0.2
1,12,3
2,12,6.6
3,12,3.4
4,12,-0.2
5,12,-0.4
6,12,0.1
7,12,1
8,12,0.5
9,12,-1.8
10,12,2.3
11,12,2.5
12,12,2
13,12,2.6
14,12,2.7
15,12,1.2
16,12,0.3
17,12,1.2
18,12,3.8
19,12,4.9
20,12,4
21,12,0.8
22,12,-1.4
23,12,-2.3
24,12,1
25,12,1.4
26,12,1.1
27,12,-1
28,12,-1.1
29,12,0.3
30,12,1.5
31,12,2.3
